Age32-40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,Hour21-35, United-States,0
Age61-70, ?, 7th-8th, Widowed, ?, Not-in-family, White, Female,Hour1-20, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,1
Age41-50, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,1
Age32-40, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour51-70, United-States,1
Age24-31, Private, HS-grad, Never-married, Farming-fishing, Other-relative, White, Male,Hour36-50, Mexico,0
Age41-50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,Hour21-35, Philippines,1
Age51-60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age32-40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, Self-emp-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,Hour51-70, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,0
Age61-70, Federal-gov, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,Hour1-20, United-States,0
Age24-31, Private, 10th, Separated, Transport-moving, Unmarried, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States,1
Age41-50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour71-99, United-States,1
Age51-60, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, 11th, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States,0
Age32-40, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Widowed, Transport-moving, Unmarried, White, Female,Hour21-35, Outlying-US(Guam-USVI-etc),0
Age17-23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,Hour21-35, United-States,0
Age32-40, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age24-31, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,Hour51-70, United-States,0
Age32-40, Local-gov, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age81-90, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States,1
Age17-23, ?, Assoc-acdm, Never-married, ?, Not-in-family, White, Male,Hour1-20, United-States,0
Age41-50, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour71-99, United-States,0
Age17-23, Private, 11th, Never-married, Priv-house-serv, Own-child, White, Female,Hour1-20, United-States,0
Age32-40, Private, 12th, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,Hour36-50, ?,0
Age32-40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, Italy,0
Age24-31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour51-70, United-States,1
Age41-50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, Assoc-voc, Never-married, Farming-fishing, Own-child, White, Male,Hour51-70, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Own-child, White, Female,Hour1-20, United-States,0
Age51-60, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age61-70, ?, Some-college, Widowed, ?, Not-in-family, White, Male,Hour1-20, United-States,0
Age61-70, ?, HS-grad, Never-married, ?, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,Hour21-35, United-States,0
Age32-40, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Never-married, Sales, Unmarried, Black, Female,Hour21-35, United-States,1
Age17-23, State-gov, Some-college, Never-married, Other-service, Own-child, White, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Male,Hour51-70, United-States,0
Age32-40, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,Hour71-99, United-States,0
Age41-50, Private, Assoc-voc, Separated, Sales, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour21-35, United-States,0
Age51-60, Private, 7th-8th, Never-married, Handlers-cleaners, Not-in-family, White, Female,Hour21-35, United-States,0
Age24-31, ?, Some-college, Married-civ-spouse, ?, Wife, White, Female,Hour1-20, United-States,0
Age41-50, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Hour21-35, United-States,0
Age24-31, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States,0
Age41-50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Local-gov, Assoc-voc, Never-married, Protective-serv, Own-child, White, Male,Hour21-35, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age71-80, ?, 11th, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States,0
Age51-60, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,0
Age41-50, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,1
Age71-80, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour1-20, United-States,0
Age32-40, Self-emp-not-inc, Prof-school, Divorced, Other-service, Not-in-family, White, Female,Hour21-35, United-States,0
Age17-23, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,Hour21-35, United-States,0
Age51-60, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour51-70, United-States,0
Age32-40, ?, HS-grad, Separated, ?, Not-in-family, White, Female,Hour21-35, United-States,0
Age32-40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Local-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Black, Male,Hour36-50, United-States,1
Age41-50, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,1
Age51-60, Federal-gov, Prof-school, Divorced, Exec-managerial, Not-in-family, Black, Male,Hour51-70, United-States,1
Age32-40, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,Hour51-70, United-States,1
Age41-50, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,Hour1-20, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age17-23, ?, Some-college, Never-married, ?, Own-child, Asian-Pac-Islander, Female,Hour1-20, South,0
Age32-40, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,Hour36-50, United-States,1
Age17-23, ?, Some-college, Never-married, ?, Own-child, White, Female,Hour1-20, United-States,0
Age24-31, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,Hour71-99, United-States,0
Age32-40, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,Hour21-35, United-States,0
Age24-31, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,Hour36-50, United-States,0
Age32-40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,Hour21-35, Japan,0
Age17-23, ?, 10th, Never-married, ?, Own-child, White, Female,Hour1-20, United-States,0
Age17-23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age61-70, Private, 1st-4th, Widowed, Handlers-cleaners, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age61-70, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age17-23, ?, Some-college, Never-married, ?, Own-child, White, Female,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Female,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,Hour21-35, United-States,0
Age41-50, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States,0
Age32-40, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,Hour36-50, Philippines,0
Age24-31, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age17-23, ?, 10th, Never-married, ?, Own-child, White, Female,Hour1-20, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour51-70, United-States,1
Age51-60, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,Hour36-50, Dominican-Republic,0
Age61-70, ?, Doctorate, Married-civ-spouse, ?, Husband, White, Male,Hour21-35, United-States,1
Age61-70, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,Hour36-50, France,1
Age17-23, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Female,Hour21-35, United-States,0
Age32-40, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,Hour21-35, United-States,0
Age41-50, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age61-70, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age32-40, State-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,Hour51-70, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Separated, Farming-fishing, Own-child, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female,Hour36-50, Philippines,0
Age51-60, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,Hour21-35, United-States,0
Age17-23, ?, HS-grad, Married-civ-spouse, ?, Own-child, White, Female,Hour21-35, United-States,0
Age41-50, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age32-40, ?, HS-grad, Divorced, ?, Unmarried, Black, Male,Hour36-50, United-States,0
Age51-60, ?, HS-grad, Widowed, ?, Not-in-family, White, Female,Hour21-35, United-States,0
Age24-31, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,Hour21-35, United-States,1
Age24-31, Private, HS-grad, Never-married, Other-service, Other-relative, Black, Female,Hour36-50, ?,0
Age32-40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age24-31, State-gov, Preschool, Never-married, Other-service, Not-in-family, White, Male,Hour21-35, United-States,0
Age51-60, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,1
Age24-31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, Mexico,0
Age41-50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, England,0
Age24-31, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age51-60, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Federal-gov, Some-college, Never-married, Protective-serv, Own-child, Black, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States,0
Age61-70, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
Age51-60, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age32-40, ?, Some-college, Never-married, ?, Own-child, White, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,Hour51-70, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age71-80, Self-emp-not-inc, 7th-8th, Never-married, Farming-fishing, Unmarried, White, Male,Hour1-20, United-States,0
Age51-60, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Bachelors, Married-spouse-absent, Transport-moving, Unmarried, White, Male,Hour21-35, Columbia,0
Age24-31, Private, Prof-school, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,Hour36-50, United-States,0
Age41-50, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age32-40, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age32-40, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
Age51-60, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, Black, Female,Hour51-70, United-States,0
Age61-70, Private, 9th, Separated, Farming-fishing, Not-in-family, Black, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour51-70, United-States,1
Age41-50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age32-40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,Hour51-70, Japan,1
Age41-50, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,Hour36-50, United-States,1
Age24-31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,0
Age32-40, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States,0
Age41-50, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,Hour36-50, United-States,0
Age71-80, ?, Assoc-acdm, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States,0
Age24-31, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,Hour1-20, United-States,0
Age32-40, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, El-Salvador,0
Age24-31, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, White, Male,Hour51-70, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,Hour36-50, United-States,1
Age61-70, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour1-20, United-States,0
Age51-60, Self-emp-inc, Some-college, Widowed, Sales, Not-in-family, White, Female,Hour51-70, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Local-gov, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Other-service, Own-child, White, Male,Hour21-35, United-States,0
Age51-60, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Self-emp-not-inc, Assoc-voc, Never-married, Farming-fishing, Own-child, White, Male,Hour71-99, United-States,0
Age51-60, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, Unmarried, White, Male,Hour36-50, United-States,1
Age41-50, Private, Some-college, Divorced, Sales, Unmarried, White, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,Hour36-50, United-States,0
Age24-31, Private, Assoc-voc, Divorced, Handlers-cleaners, Unmarried, White, Female,Hour36-50, United-States,0
Age81-90, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour1-20, United-States,0
Age17-23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,Hour1-20, United-States,0
Age32-40, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour21-35, United-States,0
Age24-31, ?, Assoc-voc, Never-married, ?, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States,0
Age24-31, Private, 1st-4th, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, Mexico,0
Age32-40, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,Hour36-50, United-States,0
Age17-23, Private, 10th, Never-married, Other-service, Other-relative, Black, Male,Hour1-20, United-States,0
Age32-40, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age41-50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, ?, 11th, Never-married, ?, Own-child, White, Female,Hour21-35, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age24-31, Private, 1st-4th, Married-spouse-absent, Other-service, Own-child, Other, Female,Hour21-35, Dominican-Republic,0
Age24-31, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Divorced, Adm-clerical, Other-relative, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Hour21-35, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States,0
Age61-70, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States,1
Age24-31, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age51-60, Self-emp-not-inc, Assoc-acdm, Divorced, Tech-support, Not-in-family, White, Male,Hour36-50, United-States,0
Age51-60, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,Hour36-50, United-States,1
Age41-50, Federal-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,Hour21-35, United-States,0
Age41-50, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age32-40, ?, Some-college, Never-married, ?, Not-in-family, Black, Male,Hour21-35, United-States,0
Age41-50, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour21-35, United-States,0
Age32-40, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,Hour36-50, United-States,0
Age32-40, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Local-gov, Masters, Widowed, Prof-specialty, Unmarried, White, Female,Hour1-20, United-States,0
Age51-60, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States,1
Age17-23, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,Hour21-35, United-States,0
Age24-31, Private, 12th, Never-married, Sales, Unmarried, Black, Female,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age51-60, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour51-70, United-States,0
Age32-40, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, Portugal,0
Age32-40, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Private, 10th, Never-married, Other-service, Not-in-family, White, Male,Hour36-50, United-States,0
Age17-23, Private, 12th, Never-married, Other-service, Own-child, White, Male,Hour21-35, United-States,0
Age41-50, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour21-35, United-States,1
Age41-50, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, Cuba,1
Age61-70, ?, Some-college, Widowed, ?, Not-in-family, White, Female,Hour21-35, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Masters, Widowed, Prof-specialty, Unmarried, Black, Female,Hour36-50, United-States,0
Age32-40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age61-70, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States,0
Age17-23, ?, HS-grad, Never-married, ?, Own-child, White, Male,Hour1-20, United-States,0
Age41-50, Private, Bachelors, Separated, Sales, Not-in-family, White, Male,Hour36-50, United-States,1
Age32-40, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,Hour1-20, United-States,0
Age17-23, Private, 9th, Never-married, Other-service, Own-child, Black, Male,Hour21-35, United-States,0
Age41-50, Private, 9th, Divorced, Sales, Not-in-family, White, Male,Hour21-35, United-States,0
Age24-31, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,Hour36-50, United-States,1
Age41-50, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,Hour36-50, Dominican-Republic,0
Age32-40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Hour51-70, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
